"filename", "language", "Java", "Markdown", "comment", "blank", "total"
"d:\VSCODE\java\stroeSystem\README.md", "Markdown", 0, 10, 0, 9, 19
"d:\VSCODE\java\stroeSystem\src\App.java", "Java", 5, 0, 0, 2, 7
"d:\VSCODE\java\stroeSystem\src\DataVO.java", "Java", 20, 0, 11, 4, 35
"d:\VSCODE\java\stroeSystem\src\FindFC.java", "Java", 75, 0, 10, 15, 100
"d:\VSCODE\java\stroeSystem\src\InsertFC.java", "Java", 65, 0, 9, 15, 89
"d:\VSCODE\java\stroeSystem\src\Loading.java", "Java", 28, 0, 11, 8, 47
"d:\VSCODE\java\stroeSystem\src\MainWindow_ui.java", "Java", 200, 0, 25, 35, 260
"d:\VSCODE\java\stroeSystem\src\dbHelper.java", "Java", 146, 0, 14, 24, 184
"d:\VSCODE\java\stroeSystem\src\login_ui.java", "Java", 66, 0, 18, 19, 103
"Total", "-", 605, 10, 98, 131, 844